ID,Traffico,no_existing_chg,mixed_use_area_per_cell,centroid_x,centroid_y,Colore
329,0,0,nan,384960.9038105677,398629,lightcyan
330,0,0,93509.435,384831.0,398852,lightcyan
331,0,0,nan,384960.9038105677,399075,lightcyan
332,0,0,161.471,384831.0,399298,lightcyan
333,0,0,nan,384960.9038105677,399521,lightcyan
334,0,0,nan,384831.0,399744,lightcyan
335,3388,0,0.0,384960.9038105677,399967,lightskyblue
336,0,0,nan,384831.0,400190,lightcyan
337,0,0,284.932,384960.9038105677,400413,lightcyan
338,0,0,nan,384831.0,400636,lightcyan
339,0,0,4770.333,384960.9038105677,400859,lightcyan
340,0,0,nan,385090,393500,lightcyan
341,0,0,nan,385219.9038105677,393723,lightcyan
342,0,0,nan,385090.0,393946,lightcyan
343,0,0,nan,385219.9038105677,394169,lightcyan
344,0,0,nan,385090.0,394392,lightcyan
345,0,0,nan,385219.9038105677,394615,lightcyan
346,0,0,nan,385090.0,394838,lightcyan
347,9467,0,nan,385219.9038105677,395061,lightskyblue
348,0,0,nan,385090.0,395284,lightcyan
349,0,0,nan,385219.9038105677,395507,lightcyan
350,0,0,nan,385090.0,395730,lightcyan
351,0,0,nan,385219.9038105677,395953,lightcyan
352,0,0,nan,385090.0,396176,lightcyan
353,0,0,nan,385219.9038105677,396399,lightcyan
354,0,0,nan,385090.0,396622,lightcyan
355,0,0,nan,385219.9038105677,396845,lightcyan
356,0,0,nan,385090.0,397068,lightcyan
357,0,0,nan,385219.9038105677,397291,lightcyan
358,33084,0,nan,385090.0,397514,deepskyblue
359,0,0,nan,385219.9038105677,397737,lightcyan
360,0,0,nan,385090.0,397960,lightcyan
361,0,1,nan,385219.9038105677,398183,lightcyan
362,26196,0,nan,385090.0,398406,deepskyblue
363,0,0,nan,385219.9038105677,398629,lightcyan
364,15908,0,nan,385090.0,398852,deepskyblue
365,0,0,nan,385219.9038105677,399075,lightcyan
366,0,0,nan,385090.0,399298,lightcyan
367,0,0,nan,385219.9038105677,399521,lightcyan
368,0,0,nan,385090.0,399744,lightcyan
369,0,0,nan,385219.9038105677,399967,lightcyan
370,0,0,nan,385090.0,400190,lightcyan
371,0,0,nan,385219.9038105677,400413,lightcyan
372,16354,0,nan,385090.0,400636,deepskyblue
373,0,0,nan,385219.9038105677,400859,lightcyan
374,0,0,nan,385349,393500,lightcyan
375,0,3,nan,385478.9038105677,393723,lightcyan
376,0,0,10147.341,385349.0,393946,lightcyan
377,0,0,nan,385478.9038105677,394169,lightcyan
378,0,0,36301.455,385349.0,394392,lightcyan
379,1805,0,nan,385478.9038105677,394615,lightskyblue
380,0,0,33270.823,385349.0,394838,lightcyan
381,0,0,nan,385478.9038105677,395061,lightcyan
382,0,0,34616.445,385349.0,395284,lightcyan
383,0,0,34616.445,385478.9038105677,395507,lightcyan
384,0,2,nan,385349.0,395730,lightcyan
385,16857,1,20336.52,385478.9038105677,395953,deepskyblue
386,0,0,nan,385349.0,396176,lightcyan
387,381,0,915.8489999999999,385478.9038105677,396399,lightskyblue
388,0,0,nan,385349.0,396622,lightcyan
389,8706,0,4165.474,385478.9038105677,396845,lightskyblue
390,0,0,nan,385349.0,397068,lightcyan
391,0,0,15100.568000000001,385478.9038105677,397291,lightcyan
392,33084,0,nan,385349.0,397514,deepskyblue
393,14206,0,nan,385478.9038105677,397737,lightskyblue
394,29772,0,32449.917,385349.0,397960,deepskyblue
395,0,0,nan,385478.9038105677,398183,lightcyan
396,0,0,17532.288,385349.0,398406,lightcyan
397,0,0,nan,385478.9038105677,398629,lightcyan
398,0,0,0.0,385349.0,398852,lightcyan
399,0,0,nan,385478.9038105677,399075,lightcyan
400,0,0,0.0,385349.0,399298,lightcyan
401,468,0,nan,385478.9038105677,399521,lightskyblue
402,0,0,nan,385349.0,399744,lightcyan
403,11796,0,0.0,385478.9038105677,399967,lightskyblue
404,0,0,nan,385349.0,400190,lightcyan
405,0,0,0.0,385478.9038105677,400413,lightcyan
406,0,0,nan,385349.0,400636,lightcyan
407,0,0,0.0,385478.9038105677,400859,lightcyan
408,0,0,nan,385608,393500,lightcyan
409,0,0,nan,385737.9038105677,393723,lightcyan
410,0,0,nan,385608.0,393946,lightcyan
411,0,0,nan,385737.9038105677,394169,lightcyan
412,0,0,nan,385608.0,394392,lightcyan
413,0,0,nan,385737.9038105677,394615,lightcyan
414,0,0,nan,385608.0,394838,lightcyan
415,0,0,nan,385737.9038105677,395061,lightcyan
416,0,0,nan,385608.0,395284,lightcyan
417,0,0,nan,385737.9038105677,395507,lightcyan
418,0,0,nan,385608.0,395730,lightcyan
419,6544,0,nan,385737.9038105677,395953,lightskyblue
420,0,0,nan,385608.0,396176,lightcyan
421,0,0,nan,385737.9038105677,396399,lightcyan
422,0,0,nan,385608.0,396622,lightcyan
423,11153,0,nan,385737.9038105677,396845,lightskyblue
424,12916,0,nan,385608.0,397068,lightskyblue
425,6093,0,nan,385737.9038105677,397291,lightskyblue
426,0,0,nan,385608.0,397514,lightcyan
427,28412,0,nan,385737.9038105677,397737,deepskyblue
428,0,0,nan,385608.0,397960,lightcyan
429,0,0,nan,385737.9038105677,398183,lightcyan
430,0,0,nan,385608.0,398406,lightcyan
431,0,0,nan,385737.9038105677,398629,lightcyan
432,0,0,nan,385608.0,398852,lightcyan
433,0,0,nan,385737.9038105677,399075,lightcyan
434,0,0,nan,385608.0,399298,lightcyan
435,0,0,nan,385737.9038105677,399521,lightcyan
436,0,0,nan,385608.0,399744,lightcyan
437,0,0,nan,385737.9038105677,399967,lightcyan
438,0,0,nan,385608.0,400190,lightcyan
439,0,0,nan,385737.9038105677,400413,lightcyan
440,0,0,nan,385608.0,400636,lightcyan
441,0,0,nan,385737.9038105677,400859,lightcyan
442,0,0,nan,385867,393500,lightcyan
443,0,0,nan,385996.9038105677,393723,lightcyan
444,0,0,37989.534,385867.0,393946,lightcyan
445,0,0,nan,385996.9038105677,394169,lightcyan
446,0,0,664.992,385867.0,394392,lightcyan
447,0,0,nan,385996.9038105677,394615,lightcyan
448,443,0,4637.169,385867.0,394838,lightskyblue
449,0,0,nan,385996.9038105677,395061,lightcyan
450,9073,0,95387.692,385867.0,395284,lightskyblue
451,0,0,nan,385996.9038105677,395507,lightcyan
452,0,0,nan,385867.0,395730,lightcyan
453,0,0,18693.578,385996.9038105677,395953,lightcyan
454,0,0,nan,385867.0,396176,lightcyan
455,13263,3,0.0,385996.9038105677,396399,lightskyblue
456,0,0,nan,385867.0,396622,lightcyan
457,0,0,3503.6440000000002,385996.9038105677,396845,lightcyan
458,15091,0,nan,385867.0,397068,deepskyblue
459,0,0,7905.455,385996.9038105677,397291,lightcyan
460,0,0,nan,385867.0,397514,lightcyan
461,21339,0,nan,385996.9038105677,397737,deepskyblue
462,0,0,0.0,385867.0,397960,lightcyan
463,0,0,nan,385996.9038105677,398183,lightcyan
464,0,0,4314.582,385867.0,398406,lightcyan
465,0,0,nan,385996.9038105677,398629,lightcyan
466,0,0,0.0,385867.0,398852,lightcyan
467,0,0,nan,385996.9038105677,399075,lightcyan
468,0,0,0.0,385867.0,399298,lightcyan
469,0,0,nan,385996.9038105677,399521,lightcyan
470,0,0,nan,385867.0,399744,lightcyan
471,0,0,0.0,385996.9038105677,399967,lightcyan
472,14394,0,nan,385867.0,400190,lightskyblue
473,0,0,0.0,385996.9038105677,400413,lightcyan
474,0,0,nan,385867.0,400636,lightcyan
475,0,0,0.0,385996.9038105677,400859,lightcyan
476,1079,0,nan,386126,393500,lightskyblue
477,0,0,nan,386255.9038105677,393723,lightcyan
478,14235,0,nan,386126.0,393946,lightskyblue
479,0,0,nan,386255.9038105677,394169,lightcyan
480,0,0,nan,386126.0,394392,lightcyan
481,0,0,nan,386255.9038105677,394615,lightcyan
482,10410,0,nan,386126.0,394838,lightskyblue
483,0,0,nan,386255.9038105677,395061,lightcyan
484,0,0,nan,386126.0,395284,lightcyan
485,0,0,nan,386255.9038105677,395507,lightcyan
486,0,0,nan,386126.0,395730,lightcyan
487,8960,0,nan,386255.9038105677,395953,lightskyblue
488,0,0,nan,386126.0,396176,lightcyan
489,0,0,nan,386255.9038105677,396399,lightcyan
490,0,0,nan,386126.0,396622,lightcyan
491,0,0,nan,386255.9038105677,396845,lightcyan
492,0,0,nan,386126.0,397068,lightcyan
493,0,0,nan,386255.9038105677,397291,lightcyan
494,0,0,nan,386126.0,397514,lightcyan
495,0,0,nan,386255.9038105677,397737,lightcyan
496,0,0,nan,386126.0,397960,lightcyan
497,0,0,nan,386255.9038105677,398183,lightcyan
498,9865,0,nan,386126.0,398406,lightskyblue
499,0,0,nan,386255.9038105677,398629,lightcyan
500,3067,0,nan,386126.0,398852,lightskyblue
501,0,0,nan,386255.9038105677,399075,lightcyan
502,0,0,nan,386126.0,399298,lightcyan
503,0,0,nan,386255.9038105677,399521,lightcyan
504,0,0,nan,386126.0,399744,lightcyan
505,20440,0,nan,386255.9038105677,399967,deepskyblue
506,0,0,nan,386126.0,400190,lightcyan
507,0,0,nan,386255.9038105677,400413,lightcyan
508,0,0,nan,386126.0,400636,lightcyan
509,0,0,nan,386255.9038105677,400859,lightcyan
510,0,0,nan,386385,393500,lightcyan
511,0,0,nan,386514.9038105677,393723,lightcyan
512,0,0,758.465,386385.0,393946,lightcyan
513,0,0,nan,386514.9038105677,394169,lightcyan
514,0,0,0.0,386385.0,394392,lightcyan
515,0,0,nan,386514.9038105677,394615,lightcyan
516,0,0,9733.927,386385.0,394838,lightcyan
517,0,0,nan,386514.9038105677,395061,lightcyan
518,0,0,133247.12,386385.0,395284,lightcyan
519,11788,0,nan,386514.9038105677,395507,lightskyblue
520,0,0,nan,386385.0,395730,lightcyan
521,20220,0,8783.435,386514.9038105677,395953,deepskyblue
522,0,0,nan,386385.0,396176,lightcyan
523,0,0,0.0,386514.9038105677,396399,lightcyan
524,0,0,nan,386385.0,396622,lightcyan
525,0,0,0.0,386514.9038105677,396845,lightcyan
526,0,0,nan,386385.0,397068,lightcyan
527,0,0,0.0,386514.9038105677,397291,lightcyan
528,0,0,nan,386385.0,397514,lightcyan
529,2092,0,nan,386514.9038105677,397737,lightskyblue
530,0,0,0.0,386385.0,397960,lightcyan
531,1366,0,nan,386514.9038105677,398183,lightskyblue
532,0,0,0.0,386385.0,398406,lightcyan
533,0,0,nan,386514.9038105677,398629,lightcyan
534,0,0,0.0,386385.0,398852,lightcyan
535,0,0,nan,386514.9038105677,399075,lightcyan
536,0,0,0.0,386385.0,399298,lightcyan
537,0,0,nan,386514.9038105677,399521,lightcyan
538,0,0,nan,386385.0,399744,lightcyan
539,0,0,0.0,386514.9038105677,399967,lightcyan
540,0,1,nan,386385.0,400190,lightcyan
541,0,0,0.0,386514.9038105677,400413,lightcyan
542,0,0,nan,386385.0,400636,lightcyan
543,0,0,0.0,386514.9038105677,400859,lightcyan
